new_rank,original_id,idea,evidence,recommended_scope,source_ids
1,11,Repo Time Machine,A,Восстановить учебный ML-репозиторий и исходный результат в изолированной среде.,S17;S19;S44;S67
2,61,Agent Handoff Capsule,A,"Проверить, что чистая сессия продолжает задачу с правильными ограничениями и тестами.",S50;S51;S52;S01
3,16,ML Detective,A,"Показать воспроизводимый контрольный эксперимент, включая корректный отрицательный пример.",S29;S30;S31
4,55,Tutorial Environment Doctor,A,"Санитизированный отчёт окружения, объяснение причины и проверяемая команда исправления.",S16;S17;S44;S45
5,8,Data Detective Agency,A,"Один качественный SQL-кейс с вариациями, фиксированной истиной и проверенными подсказками.",S12;S13;S14
6,93,Course Maintenance Radar,A,"Один урок, чистое окружение, отчёт о сломанных шагах и проверенная правка.",S16;S42;S67
7,29,RAG Forensics Theater,B,"Одна ошибка, трасса, исправление retrieval и held-out проверка.",S36;S78
8,3,Paper-to-Playground,A,"Одна CPU-статья, явный протокол, повторяемый результат и честный статус репликации.",S08;S09
9,56,Dependency Domino Map,A,Проверить один major upgrade и объяснить реальную цепочку поломки тестами.,S20;S46
10,24,Misconception Atlas,B,На одном задании сгруппировать обезличенные ошибки и проверить выводы с преподавателем.,S16
11,34,Data Contract Negotiator,B,"Один producer/consumer, совместимость и миграционный тест без production-действий.",S35;S20
12,49,Reproducibility Passport,A,Экспорт проверенного replay-пакета как результат Repo Time Machine.,S08;S09;S10
13,69,Runtime Documentation,A,Проверять существующие примеры одной версии и выдавать исполняемое доказательство.,S39;S40;S41;S43
14,64,Label Policy Compiler,B,Guideline → пограничные случаи → экспертная проверка и версия правил.,S56;S57
15,59,Query Plan Coach,A,"Один движок, воспроизводимый медленный запрос и одинаковые результаты после правки.",S48;S49
16,85,Book Exercise Modernizer,A,"Один лицензированный пример: старый результат, новый запуск и проверка учебной цели.",S19;S42;S67
17,45,Community Knowledge Maintainer,A,Проверять ответ для указанной версии и предлагать правку человеку.,S39;S41;S43
18,13,Disaster Director,B,Один инцидент в учебном сервисе с детерминированной проверкой восстановления.,S22;S23;S24
19,40,Search Strategy Autopilot,B,Сравнение двух подходов на отдельном наборе вопросов.,S36;S78
20,21,Executable Career Quest,B,Один проект по роли с внешней проверкой выполненной работы.,S04;S44;S67
21,74,Project Scope Surgeon,A,Работать с существующим проектом: один законченный сценарий и согласованный список сокращений.,S64;S65
22,22,Code Archaeologist,B,"Один модуль, ссылки на историю и эксперимент вместо уверенной легенды.",S32;S33;S34;S72
23,54,Accessibility Journey Rehearsal,B,Один конкретный keyboard/screen-reader путь и проверка человеком.,S73;S74
24,65,Synthetic Edge-Case Workshop,B,Небольшой набор schema-valid edge cases с независимыми проверками ограничений.,S80;S84
25,46,Teaching Blind-Spot Detector,B,"Объединить с №24: одна ошибка, диагностический вопрос и проверка причины.",S16;S04
26,66,Evaluation Disagreement Resolver,B,Показать разногласия на одном rubric и предложить человечески проверяемые изменения.,S54;S58
27,77,Secret-Safe Demo Maker,B,Один согласованный dataset для реального демо; не обещать автоматическую гарантию отсутствия секретов.,S80;S84;S85
28,19,Benchmark Forge,B,"Один тип задач, человечески проверенные ответы и независимый тест генератора.",S54;S58;S77
29,31,Model Surgery Bench,B,"Один failure slice, одна правка и проверка регрессий вне среза.",S29;S31;S56
30,50,Fair Comparison Referee,B,"Объединить с №16: общий holdout, одинаковый preprocessing и отчёт.",S09;S30
31,71,Open-Source Contribution Coach,B,"Один разрешённый issue, локальный тест и патч с объяснением, без автопубликации.",S72;S60
32,73,Documentation Gap Miner,B,Один кластер вопросов → проверяемый пример → review владельца документации.,S16;S39;S43
33,60,Intent-Preserving Refactor,B,"Один модуль, независимые тесты важных инвариантов и review diff.",S32;S34;S72
34,37,Minimal Reproducer,C,Один reproducible bug и сравнение с ручным сокращением.,S37;S72
35,15,Dataset Time Machine,B,"Сценарии дрейфа как проверка существующего мониторинга, не прогноз будущего.",S27;S28
36,1,Living ML Lab,C,Сузить до одного повторяющегося затруднения и измерить перенос навыка.,S04;S05;S44
37,79,RAG Memory Expiry Lab,C,"Один update/delete тест в RAG Forensics, не отдельная платформа.",S78;S50
38,58,Schema Storyteller,B,"Один schema snapshot, проверяемые связи и явное разделение фактов и гипотез.",S47;S35
39,68,Regression Story Map,B,Один набор падающих тестов и проверка полезности группировки разработчиком.,S81;S32
40,72,Maintainer Triage Bench,B,"Приоритизация с доказательствами и человеческим подтверждением, не автоматическое закрытие.",S60;S61
41,25,Oral Defense Lab,C,Применять добровольно как обучение; оценку подтверждать реальной правкой кода.,S16;S44
42,98,Learning Budget Optimizer,B,"Одна стартовая диагностика и один завершённый проект, а не длинный syllabus.",S66;S67;S44
43,41,Agent Crash Test,B,"Один мок-инструмент: потерянный ответ, повторный вызов и проверка фактического состояния.",S50;S77
44,7,Living Technical Book,C,Сделать один проверяемый интерактивный раздел как функцию учебного продукта.,S15;S25;S67
45,80,Translation Stress Bench,B,"Одна языковая пара: термины, числа и исполняемые примеры с экспертным review.",S79
46,2,Architecture Wind Tunnel,C,Не строить ещё один canvas; проверить один конкретный сценарий отказа.,S06;S07
47,9,Counterexample Studio,C,Встроить поиск контрпримера в ML Detective и проверить на реальном споре.,S09;S30
48,18,Missing Experiment Finder,C,"Функция исследовательского workflow, не отдельный продукт на этом основании.",S08;S09;S59
49,95,Open Learning Map,B,"Один корпус и проверка, помогает ли карта найти нужное объяснение.",S75;S43
50,94,Research Taste Map,B,"Начать с восстановления контекста собственного исследования, не обещать генерацию новизны.",S75
51,63,Active Labeling Interviewer,B,Один тип неоднозначности; эксперт подтверждает обновление политики.,S56;S57
52,76,ML Deployment Dress Rehearsal,C,Один локальный сервис и три сбоя; объединить с incident lab.,S27;S28;S22
53,14,Demo-to-Lab,C,Один разрешённый фрагмент воркшопа и проверка готового упражнения.,S25;S26;S42
54,4,Parallel Futures,B,"Сравнивать альтернативы одной задачи, а не множить потоки работы.",S01;S02;S03
55,17,Agent Apprenticeship,C,Проверить один перенос процедуры на новую задачу; объединить с handoff.,S50;S77
56,26,Choose-Your-Own Lecture,C,"Один урок и измерение переноса, не генератор полного курса.",S04;S16
57,27,Pipeline Escape Room,C,"Вариант SQL-детектива, не отдельный рынок.",S12;S13;S22
58,39,Skill Transfer Bridge,C,Одно соответствие и задача на границу аналогии.,S04;S44;S71
59,57,Data Pipeline Migrator,C,Один pipeline и эквивалентность на edge cases; сначала внешний пример миграции.,S71;S35
60,28,Protocol Translator Lab,C,Один адаптер с проверкой семантики в sandbox.,S35;S40
61,35,User Story to Witness,C,"Один пользовательский путь с записанным выполнением, как функция тестирования.",S06;S73
62,62,Experiment Traffic Controller,C,Одна серия экспериментов и сравнение с фиксированным расписанием.,S53;S59
63,20,Research Debate Arena,C,"Объединить с Fair Comparison Referee, убрать театральный спор моделей.",S09;S30
64,10,Community Research Reactor,C,Одна заранее выбранная дискуссия и согласованный участниками протокол.,S30;S78
65,42,Meeting-to-Benchmark,C,Согласованный протокол как функция ML Detective.,S30
66,30,Counterfactual Incident Replay,C,"Учебный replay с явно заданными допущениями, не исторический прогноз.",S22;S24
67,6,Small Worlds,C,"Один фиксированный мир и независимые критерии, сначала найти внешнего тестировщика.",S77;S80
68,47,Constraint-Driven Project Foundry,C,Начать с существующего проекта и сохранить один ценный сценарий.,S44;S64;S65
69,52,Notebook-to-Video Director,C,Проверить обновление одного screencast по реальному выполнению.,S42;S25
70,38,Lecture Contradiction Finder,C,Функция обслуживания учебных материалов; учитывать версию и контекст.,S39;S43
71,67,Prompt-to-Protocol,C,Опциональная функция исследовательского workflow с утверждением протокола человеком.,S08;S59
72,5,Teach the Machine,C,"Проверить упражнение с явным состоянием знаний, не запускать как доказанный рынок.",S11;S16
73,12,Algorithm Arena,C,Проверить одно игровое правило и человеческий цикл улучшения стратегии.,S21;S13
74,48,Algorithm Budget Coach,C,Сначала узкий Query Plan Coach; общий продукт отложить.,S48;S49
75,81,Multimodal Exercise Maker,C,Формат одного диагностического задания внутри №24.,S16;S04
76,84,Evidence-Linked Technical Editor,C,"Один технический текст, исходники и человеческая оценка сохранённых оговорок.",S79;S15
77,89,Project Remix Engine,C,Один лицензированный проект и самостоятельное изменение пользователем.,S04;S44
78,100,Launch Rehearsal Agent,C,Один owned demo и реальная первая сессия пользователя для сравнения.,S06;S73
79,53,Visual Bug Detective,B,"Одна известная страница, replay и проверка исправления.",S37;S06
80,51,Interactive Podcast Lab,C,"Один разрешённый эпизод и тест, запускают ли слушатели упражнение.",S76;S25
81,75,Weekend Integration Lab,C,Один pair интеграций и явные тесты ошибок.,S35;S40
82,70,API Explorer Quest,C,"Включить одну проверяемую миссию в документацию, не строить платформу.",S40;S04
83,86,Personalized Reference Builder,C,Один собственный набор повторяющихся вопросов и измерение времени поиска.,S75;S43
84,32,Semantic Git Merge,C,"Тест намерения в одном конфликте, не автоматический merge любой ветки.",S01;S32;S34
85,92,Workshop Pacing Copilot,C,Сначала отчёт после упражнения; live-рекомендации позднее.,S16
86,96,Sponsor Evidence Studio,B,Один реальный отчёт с проверенными агрегатами; не приоритет конкурса.,S68;S69
87,97,Portfolio Evidence Curator,C,"Сначала закончить один сценарий, затем собрать честные доказательства.",S70;S64
88,88,Study Group Mission Planner,C,"Проверить один совместный проект, где именно согласование задач стало препятствием.",S82;S83
89,87,Community Skill Exchange,C,Ручной пилот одной пары; автоматизацию отложить.,S82;S83
90,91,Technical Debate Moderator,C,Вынести проверяемые утверждения в эксперимент с согласия участников.,S30;S01
91,44,ML Museum,C,"Один учебный экспонат внутри курса, а не новый музейный продукт.",S04;S05
92,90,Demo Narrator With Receipts,C,"Функция записи реального запуска, не самостоятельный продукт на этом основании.",S42;S25
93,99,Executable Glossary,C,Функция внутри урока; сначала проверить конкретный неоднозначный термин.,S04;S43
94,82,Honest Synthetic Customer Panel,C,Только генерация гипотез для исследования; не представлять её как пользовательский спрос.,S62;S63
95,23,Causal Comic Studio,D,"Отложить до наблюдения учебной проблемы, где этот формат реально помогает.",
